displayId,question,answer,answerImageQuery,reason
Q165,A clay roofing tile approximately semi cylindrical in shape laid in courses with units having their side alternately up and down is,Mission tile,Mission tile building material sample photo,correct answer is a visual material/tool/hardware/defect/finish
Q168,Patented as the first and only Stone Coated Long Span roofing supplier in the Philippine market?,Metalink,Metalink building material photo,correct answer is a visual material/tool/hardware/defect/finish
Q169,Which of the following is NOT a supplier for stone coated metal roof?,"Best reviewer answer, Colorsteel","Best reviewer answer, Colorsteel building material sample photo",correct answer is a visual material/tool/hardware/defect/finish
Q171,Riviera Filipina is what type of roofing material?,Clay,Clay building material photo,correct answer is a visual material/tool/hardware/defect/finish
Q182,"This is an ordinary tar paper laid with coal-tar pitch laid in asphalt, usually used for waterproofing floors of toilet and baths on the second floor:",membrane waterproofing,membrane waterproofing building material photo,correct answer is a visual material/tool/hardware/defect/finish
Q185,SikaProof Bentonite is what type of water proofing?,Surface applied geosynthetic clay,Surface applied geosynthetic clay building material photo,correct answer is a visual material/tool/hardware/defect/finish
Q195,These are materials excellent as vapor barrier in the roofing system of residential buildings,Aluminum foil sheets,Aluminum foil sheets building material sample photo,correct answer is a visual material/tool/hardware/defect/finish
Q203,A method of fastening aluminum jambs to concrete or masonry is by:,screw with expansion plug,screw with expansion plug fastener product photo,correct answer is a visual material/tool/hardware/defect/finish
Q221,An invisible hinge that is so constructed that no parts are exposed when the door is closed is also known as?,Soss hinge,Soss hinge hardware product photo,correct answer is a visual material/tool/hardware/defect/finish
Q222,Also known as Paumelle Hinge in which the knuckles form an oval shape. It is a type of loose pin hinge equipped with a ball bearing with only the knuckles that are visible when the door is closed.,olive-knuckle hinge,olive-knuckle hinge hardware product photo,correct answer is a visual material/tool/hardware/defect/finish
Q223,What type of hinge is countersunk into both door and jamb and are used for most doors?,full mortised hinge,full mortised hinge hardware product photo,correct answer is a visual material/tool/hardware/defect/finish
Q230,Which of the following can be used to secure asphalt shingles roofing?,Staple wire nail,Staple wire nail hardware product photo,correct answer is a visual material/tool/hardware/defect/finish
Q233,What is the safest lockset recommended for main entry doors?,dead bolt lockset,dead bolt lockset hardware product photo,correct answer is a visual material/tool/hardware/defect/finish
Q234,A type of handless lockset key-operated to give double security is:,dead bolt lock,dead bolt lock hardware product photo,correct answer is a visual material/tool/hardware/defect/finish
Q235,The oldest type of latch that is simple to install but difficult to adjust and is usually padlocked is:,"best reviewer answer, rim latch","best reviewer answer, rim latch hardware product photo",correct answer is a visual material/tool/hardware/defect/finish
Q238,Most secured type of hinge?,Full Mortise Butt Hinge,Full Mortise Butt Hinge hardware product photo,correct answer is a visual material/tool/hardware/defect/finish
Q239,"Also known as continuous hinge, having the same length as the moving parts to which it is attached.",Piano Hinge,Piano Hinge hardware product photo,correct answer is a visual material/tool/hardware/defect/finish
Q242,"A hard, brittle, chemically inert substance produced by fusing silica together with a flux and a stabilizer that cools to a rigid condition without crystallization is:",glass,glass building material sample photo,correct answer is a visual material/tool/hardware/defect/finish
Q249,"This glass cannot be drilled or cut, that is why all dimensions, holes, hardware must be designed before its manufacture:",tempered glass,tempered glass building material sample photo,correct answer is a visual material/tool/hardware/defect/finish
Q250,A type of glass used for mirrors.,sheet glass,sheet glass building material sample photo,correct answer is a visual material/tool/hardware/defect/finish
Q251,A type of glass that can be used as stair tread.,Laminated glass,Laminated glass building material sample photo,correct answer is a visual material/tool/hardware/defect/finish
Q253,Ideal glass to be used for interior walls of elevator.,Tempered,Tempered building material photo,correct answer is a visual material/tool/hardware/defect/finish
Q254,A type of glass used for windshield of automobiles.,Laminated,Laminated building material photo,correct answer is a visual material/tool/hardware/defect/finish
Q256,What do you call the support of the lower edge of the glass pane within the window frame?,setting block,setting block hardware product photo,correct answer is a visual material/tool/hardware/defect/finish
Q262,"Aluminum, stainless, or chrome plated fittings for a double leaf frameless entrance glass door",Patch fittings,Patch fittings hardware product photo,correct answer is a visual material/tool/hardware/defect/finish
Q264,Which will immediately dry-to-touch when applied to a 2x2x45 lumber?,Lacquer putty,Lacquer putty building material photo,correct answer is a visual material/tool/hardware/defect/finish
Q265,Which of the ff can’t be used as a putty for plastered CHB walls,Lacquer putty,Lacquer putty building material photo,correct answer is a visual material/tool/hardware/defect/finish
Q266,"A mixture consisting of vehicles or binders, with or without coloring pigments, adjusted and diluted with correct amounts and types of additives and thinners, which when applied on a surface, forms an adherent continuous film which provides protection, decoration, sanitation, identification and other functional properties:",Paint,Paint building material sample photo,correct answer is a visual material/tool/hardware/defect/finish
Q267,"A decorative coating especially prepared to penetrate deep into unfinished wood where its clear, true tones emphasize the grain and bring out the natural beauty of wood:",oil wood stain,oil wood stain building material sample photo,correct answer is a visual material/tool/hardware/defect/finish
Q268,A group of more-or-less transparent liquids which are used to provide a protective surface coating and at the same time to allow the original surface to show but also add a lustrous finish to it is known as:,Varnishes,Varnishes building material photo,correct answer is a visual material/tool/hardware/defect/finish
Q271,"This is the principal paint for exterior wood surfaces. It contains white lead as the white paint pigment, together with color pigments and extenders in a vehicle consisting of drying oil (usually linseed oil), dryers and the solvent or thinner (turpentine).",Oil Paint,Oil Paint building material sample photo,correct answer is a visual material/tool/hardware/defect/finish
Q272,The pigments used are obtained from various earth clays after which they are dissolved in linseed oil and the coloring particles remain suspended between the oil molecules:,Oil Stains,Oil Stains building material photo,correct answer is a visual material/tool/hardware/defect/finish
Q275,What do you call a coating applied to a surface to have a better adhesion of the finishing coat?,Primer,Primer building material photo,correct answer is a visual material/tool/hardware/defect/finish
Q276,"When pigment is added to a varnish, the result is:",enamel,enamel building material photo,correct answer is a visual material/tool/hardware/defect/finish
Q279,Commercial wood product impregnated with solignum,Matwood,Matwood building material sample photo,correct answer is a visual material/tool/hardware/defect/finish
Q284,What do you apply to improve or highlight the wood grain?,Oil wood stain,Oil wood stain building material sample photo,correct answer is a visual material/tool/hardware/defect/finish
Q287,"This is used on all non-painted concrete, synthetic finishes, rubber, and wash-out finishes as a protection from absorption of water and prevents moss, alkali, fungi to appear on the surface is known as;",Silicone Water Repellant,Silicone Water Repellant building material photo,correct answer is a visual material/tool/hardware/defect/finish
Q288,Use of epoxy primer in epoxy paint finish is for.,better adhesion of epoxy paint,better adhesion of epoxy paint building material sample photo,correct answer is a visual material/tool/hardware/defect/finish
Q291,Which of the following is the best type of paint to be used for a properly primed steel?,Epoxy Enamel,Epoxy Enamel building material photo,correct answer is a visual material/tool/hardware/defect/finish
Q296,"For Duco paint finish, after spraying the paint, which will be applied next if there are still, though minimal, defects on the surface of wood",Lacquer spot putty,Lacquer spot putty building material photo,correct answer is a visual material/tool/hardware/defect/finish
Q297,"For ease in mixing flat wall enamel paint, what is added",Paint thinner,Paint thinner building material sample photo,correct answer is a visual material/tool/hardware/defect/finish
Q302,A kind of masonry finish which utilizes a chamfered wood blockout usually 1” x 1” distanced at 2” o.c. which serves as a form and when removed gives the design lines. The texture is added by chisel and then washed is called:,chisel finish,chisel finish building material photo,correct answer is a visual material/tool/hardware/defect/finish
Q312,"Which of the following materials (with same thicknesses) is easiest and fastest to cut to 200x1220mm dimension without using any power tools, considering that all hand tools are sharp enough?",Plywood,Plywood building material sample photo,correct answer is a visual material/tool/hardware/defect/finish
Q314,"When concrete aggregate is forced below the surface, leveled with wood screed and given a float finish is called",Steel-trowelled finish,Steel-trowelled finish building material sample photo,correct answer is a visual material/tool/hardware/defect/finish
Q315,"Type of tile taken from either natural clay or shale, similar to brick in performance, material, color and method of installation?",Brick tile,Brick tile building material sample photo,correct answer is a visual material/tool/hardware/defect/finish
Q317A,"This consists of thoroughly bonded composition of thermoplastic binder, asbestos and other fibers, inert filler materials (various stone dust, diatomite, mica etc) and inert color pigments formed under pressure while hot and cut to size.",Asphalt tile/sheet,Asphalt tile/sheet building material sample photo,correct answer is a visual material/tool/hardware/defect/finish
Q318A,"A resilient, waterproofed floor covering that consists of a backing covered with a relatively thick layer of wearing surface processed in a special way, combined with wood, various fillers, stone dust, resin binders, driers, and inert color pigments:",Linoleum tile/sheet,Linoleum tile/sheet building material sample photo,correct answer is a visual material/tool/hardware/defect/finish
Q319A,"Parquet flooring which consists of square pieces or blocks which have been built-up in several layers like plywood and having a veneered surface, or consists of several parquet strips assembled at the factory to form a tile is also known as:",block flooring,block flooring hardware product photo,correct answer is a visual material/tool/hardware/defect/finish
Q317B,"Is an unglazed floor tile made from natural clays or shales by the plastic method and are very durable flooring material being impervious to moisture, stains and dirt and are resistant to abrasions.",Quarry tile,Quarry tile building material sample photo,correct answer is a visual material/tool/hardware/defect/finish
Q320,What kind of adhesive is used in installing marble?,Tile bond,Tile bond building material sample photo,correct answer is a visual material/tool/hardware/defect/finish
Q321,It is a polymer modified mixture of Portland cement and fine graded sand.,Tile adhesive,Tile adhesive building material sample photo,correct answer is a visual material/tool/hardware/defect/finish
Q323,Which of the following flooring finishes is the most slippery when exposed to dust.,Ceramic,Ceramic building material photo,correct answer is a visual material/tool/hardware/defect/finish
